,keyword,image,prompt
0,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/02f3c30c-b701-4b28-90cf-87aca835135a,"detailed portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
1,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/056a3334-f3bf-470d-9a08-e90f83248ab7,"detailed portrait of cyberpunk computer scientist who served as systems engineer dancer on the neo Tokyo streets of the Mecha Empire city during the Festival of Masks, futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
2,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/06459c35-940b-41f1-b2b3-e40ebcc61d17,"cyberpunk huntress. this pastel painting by the award - winning children's book author has interesting color contrasts, plenty of details and impeccable lighting. "
3,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/103b959f-56b3-4116-a783-1989729537ae,"a beautiful portrait painting of a cyberpunk girl by pascal blanche and sachin teng and sam yang and greg rutkowski, in style of colorful comic. symmetry, hyper detailed. octanev render. trending on artstation "
4,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/116715da-6d09-49e7-b344-8037eba24cb7,"cyberpunk princess. this watercolor painting by the beloved children's book author has interesting color contrasts, plenty of details and impeccable lighting. "
5,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/2b805878-9b5c-4337-b358-3fc3083c2fb8,beautiful furry art portrait commission of a androgynous furry anthro wolf fursona both wearing punk clothes in the streets of a cyberpunk city. neon signs. 
6,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/2e520ff4-b094-4cd8-a08a-a8c47866939b,"cyberpunk man shopping at a neon soaked grocery store, science fiction painting, elegant intricate digital painting artstation, art by masamune shirow, detailed "
7,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/3091a68d-ee9e-48ce-bce5-3140524b63f8,cyberpunk winter 
8,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/30a0156d-3773-4fcd-88fa-4839228fda1f,"cyberpunk character in abstract neon tokyo composition, dark and mysterious, very detailed, very realistic "
9,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/344ff400-a9d1-4d39-ad38-4811e575f197,"cyborg feeding electric pigeons in front of a neon church, cyberpunk, neon noir, by Josan Gonzalez  and Tomer Hanuka and Geof Darrow and Brad Rigney and  Greg Rutkowski and Moebius, Ghost in the shell, Blade Runner,  highly detailed, James Dean as a cyborg, UHD, 8K, wet street, Trending on artstation, bokh, dof"
10,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/35b49051-bf7e-485d-91cd-0dd1dd615b25,"highly detailed portrait of a cyberpunk hacker in front of a futuristic bangkok skyline and a buddhist temple by wadim kashin, dark colors, high contrast "
11,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/3723419e-6678-4dda-8432-3d2b27d5861a,"a portrait of a cyberpunk netrunner, very very coherent painting, street level neo-Tokyo, in the style of Gustave Doré, 4k, 8k, HD, trending on artstation"
12,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/3723d709-5a0f-4e9d-8a53-3cec94685b89,"detailed full body side profile portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments, standing on skyscraper by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
13,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/39731ed3-dd9b-43ee-81fe-38707f225ee2,"A solarpunk very highly detailed  Anthropomorphic cybertronic penguin wearing sport suit with very highly detailed face on the street of a very highly detailed solarpunk city digital vibrant art by Greg Rutkowski, sci-fi highly detailed, digital concept art, Volumetric natural light, sharp focus, Golden Ratio illustration, realistic concept art by Stephen Hickman and James Gurney and Hiromasa Ogura Ghost in the Shell rendered in VRAY, From the distance "
14,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/471eb23d-2f3c-44b7-83b4-98c86cb4baa8,"a colorful comic noir illustration painting of a cyberpunk girl by sam yang!! and artgerm!! and lois van baarle and ross tran!!. in style of digital art, symmetry, sci fi, hyper detailed. octane render. trending on artstation "
15,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/47423ef9-fee5-4d39-b65f-3afa3ba67b8f,"a cyberpunk 2077 srcreenshot couple portrait of Keanu Reeves and a female android final kissed in night city,love,film lighting,by Lawrence Alma-Tadema,Andrei Riabovitchev,Laurie Greasley,Dan Mumford,John Wick,Speed,Replicas,artstation,deviantart,FAN ART,full of color,Digital painting,face enhance,highly detailed,8K,octane,golden ratio,cinematic lighting"
16,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/52b3c535-d603-4bdb-a956-d6f5650c3df3,"detailed portrait neon guard man with short brown hair seen from the back, cyberpunk futuristic, reflective puffer jacket, black leggings, decorated with traditional ornaments in front of a dystopian crowd with piles of garbage perfect face, fine details, realistic shaded, fine - face, pretty face by rossdraws "
17,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/57093fc1-278f-4c27-880c-ba311051a5c7,"detailed portrait of cyberpunk computer scientist who served as systems engineer dancer on the neo Tokyo streets of the Mecha Empire city during the Festival of Masks, futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
18,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/58ef54d3-481d-48ef-904a-91db69fdea4c,"portrait futuristic beautiful cyberpunk female police, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha"
19,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/59318255-498d-4766-9aaf-aa5c284c2ee6,"zendaya crushing it as a cyberpunk hero standing on the rooftop of cybertown, art poster, full body, t - pose, character design, ambient lighting, 4 k, lois van baarle, ilya kuvshinov, rossdraws, alphonse mucha, jung gi kim, dylan kowalsk, artstation "
20,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/5b6e7a70-672d-4432-8b95-8c28a7af966d,"detailed full body portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
21,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/6981d897-76c2-4843-9b66-92b8d5c19cc1,"detailed portrait Neon Operator Girl cyberpunk futuristic neon Reflective puffy coat, decorated with traditional japanese ornaments by ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Margitte illustrated Perfect face, fine details, realistic shaded, fine-face, pretty face"
22,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/6af57413-80da-48b3-b2ea-12cb4577c591,"cyberpunk wednesday addams, sharp focus, james gilleard, cinematic, game art, extremely detailed digital painting, print "
23,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/738b80e9-a2bb-48b9-99e1-ad07c0e6e79c,"Male cyborg, battle-damaged, wearing a school uniform, standing on neon-lit street corner”, full body shot, cyberpunk, Digital art, detailed, anime, vibrant colors, artist Katsuhiro Otomo"
24,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/7f1cd38b-196c-4c13-a3e3-7d5450f84ab5,"detailed portrait Quest Love Neon Operator, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma !dream detailed portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
25,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/859306bb-7414-47b1-9a8a-f568f23c3f68,"a painting of cyberpunk tokyo ultra realistic, colour, concept art, intricate details, night, thunder, raining, eerie, highly detailed, dark fantasy, photorealistic, octane render, 8 k, unreal engine 5. art by artgerm and greg rutkowski and alphonse mucha "
26,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/86b78865-b65a-413a-915c-e0e4bc8ea2b5,"stunning futuristic superb cyberpunk young female Samurai wearing samurai armor hybrid with military tactical vest, armor has neon circuitry, long white hair, windswept hair, sci-fi in futuristic stormy heavy rain thunder flashing tokyo rooftop cyberpunk night, sci-fi,fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, hyper realism, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha"
27,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/8bae1d93-88ba-4882-a3a9-8c92bd4c782f,"cyberpunk pinup, sweat drops, neon hubs, 80s aesthetics, insane, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, Unreal Engine 5, 8K, art by artgerm and greg rutkowski and alphonse mucha"
28,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/96324967-f37b-40e3-bc14-301387c4dce7,"portrait anime visual futuristic female cyber police, on cyberpunk neon light tokyo rooftop, ssci - fi and fantasy, intricate and very beautiful, human structure, concept art, sharp focus, anime by simon stalenhag, rossdraws and magali villeneuve and liya nikorov and luxearte, frostine engine "
29,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/995aadf0-4fbd-4c7d-a4c5-0e0462d48d8c,"detailed portrait Quest Love Neon Operator, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma !dream detailed portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
30,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/9bc17bf2-7ad0-4a28-8613-1668dacb1938,"epic card scans, cyberpunk style highly detailed, digital art, "
31,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/9d2e5245-f1d6-4905-a59b-8e4b0855ff06,"detailed portrait Neon guard girl with short dark hair seen from the back, cyberpunk futuristic, reflective puffer jacket, black leggings, decorated with traditional ornaments in front of a dystopian crowd with piles of garbage by Ismail inceoglu dragan bibin hans thoma, Perfect face, fine details, realistic shaded, fine-face, pretty face"
32,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/a2665702-98dc-4444-a6de-6f2bfca6a39c,"cyberpunk pinup, sweat drops, neon hubs, 80s aesthetics, insane, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, Unreal Engine 5, 8K, art by artgerm and greg rutkowski and alphonse mucha"
33,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/a43e575d-b58e-4c50-8ede-b037d778e1a7,Beautiful Photo of Arduino Uno in the man robot's head. Cyberpunk. splatterpunk. 4K
34,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/b668af89-6e1d-4dce-a0a0-c3dc04bc0f2f,"a colorful comic noir illustration painting of a cyberpunk girl by sam yang!! and artgerm!! and lois van baarle and ross tran!!. in style of digital art, symmetry, sci fi, hyper detailed. octane render. trending on artstation "
35,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/b6a27577-9631-4f4d-a1fc-60b7e1025a6f,"portrait futuristic beautiful cyberpunk female police, in heavy rainning futuristic tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha"
36,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/bd1500ea-0bd2-4f69-b299-63a32fcb8a31,"portrait futuristic genuine cyberpunk young female Witch Doctor, in futuristic stormy heavy snowy thunder tokyo rooftop Enchantment cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha"
37,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/c204f15c-ffb6-46e7-8b05-cdb80b8cf6a1,"detailed portrait Neon Operator Girl cyberpunk futuristic neon Reflective puffy coat, decorated with traditional japanese ornaments by ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Margitte illustrated Perfect face, fine details, realistic shaded, fine-face, pretty face"
38,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/c295fae1-dd92-4e40-a8ee-c28732e885fe,"detailed full body Blade Runner, cyberpunk futuristic neon, reflective coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, fine details, realistic shaded, fine-face, pretty face"
39,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/c5717b37-6cf7-4db5-b424-431c983cbf1c,"detailed full body Blade Runner, cyberpunk futuristic neon, reflective coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, fine details, realistic shaded, fine-face, pretty face"
40,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/c5f95011-7ee2-4362-bb90-534f58cfaf12,"cyborg male, bladed arms, chest cannon, neon streets, cyberpunk vibe, concept art, highly detailed, artstation, trending, feng zhu, shaddy safadi, noah bradley, tyler edlin, jordan grimmer, darek zabrocki, neil blevins, tuomas korpi "
41,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/d34b14cb-879a-40f9-9172-c0ff06b7f130,"teenagers of the future in Singapore 3000, cyberpunk, close-up portrait, hyper realistic, volumetric lighting, scenery, digital painting, highly detailed, artstation, neon"
42,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/d6b9e179-9e2c-4666-a3b3-afcb46936be4,"cyberpunk dreamscapes,"
43,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/df97e6d4-8583-4729-86a9-79b1b975440c,"detailed Amber Heard crouching on top of messed up bed, volumetric lightning, cyberpunk futuristic neon, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma !dream detailed portrait Neon Operator Girl, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional Japanese ornaments by Ismail inceoglu dragan bibin hans thoma greg rutkowski Alexandros Pyromallis Nekro Rene Maritte Illustrated, Perfect face, fine details, realistic shaded, fine-face, pretty face"
44,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/e1846bd4-643e-48d9-b913-74a317796aac,"etailed portrait virgul, neon operator, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional chinese ornaments by ismail inceoglu dragan bibin hans thoma greg rutkowski alexandros pyromallis nekro rene maritte illustrated, perfect face, fine details, realistic shaded, fine - face, pretty face "
45,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/e2a576ae-f50b-479b-8add-d5503f917270,"portrait futuristic nefarious cyberpunk young female Necromancer, in futuristic rainny thunder flashing tokyo rooftop cyberpunk night, ssci-fi, fantasy, intricate, very very beautiful, elegant, neon light, highly detailed, digital painting, artstation, concept art, soft light, hdri, smooth, sharp focus, illustration, art by tian zi and craig mullins and WLOP and alphonse mucha"
46,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/ea218c77-d6f5-4288-a1f6-d9f4ab8e31b8,"a whirlwind inside the metaverse, guy, male, man, hologram, half body, neurochip, android, cyborg, cyberpunk face, by loish, d & d, fantasy, intricate, elegant, highly detailed, colorful, digital painting, artstation, concept art, art by artgerm and greg rutkowski and alphonse mucha "
47,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/fa3f13ac-f88d-4166-8d05-8b19ef9e8546,"neon operator margot robbie, cyberpunk futuristic neon, reflective puffy coat, decorated with traditional japanese ornaments by ismail inceoglu dragan bibin hans thoma greg rutkowski alexandros pyromallis nekro rene maritte illustrated, perfect face, fine details, realistic shaded, fine - face, pretty face "
48,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/fad84ddc-b917-40eb-b2ca-bfa2b7f5d309,"high detailed cyberpunk women, city, neon lights, glow, sunset, atmospheric, cinematic,  retrowave style,"
49,cyberpunk,https://lexica-serve-encoded-images.sharif.workers.dev/md/fb3bece8-6f53-4f05-a68c-55c7c675f61d,"an emotional concept painting of a cyberpunk android dancing in the moonlight, neon signs, empty city, large detailed moon, concept painting by Raymond Swanland and Ruan Jia and Greg Rutkowski"
50,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/02bcc241-b4bf-437a-9d25-d3d94a316a22,"hyperrealistic mixed media image of Matt Damon bald head disguised as !!!!foreskin!!!!, stunning 3d render inspired art by István Sándorfi and Greg Rutkowski, perfect facial symmetry, realistic, highly detailed attributes and atmosphere, dim volumetric cinematic lighting, 8k octane extremely hyper-detailed render, post-processing, masterpiece,"
51,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/04b2e32b-2167-46d4-a01a-3a278123b803,"portrait of a cute thin young woman, bronze brown hair, eye color is emerald green, red blush, cute freckles, smug smile, modern clothes, relaxing on the beach, golden hour, close up shot, 8 k, art by irakli nadar, hyperrealism, hyperdetailed, ultra realistic "
52,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/06accbbd-477b-4f0a-835e-b6c38a79559b,"close up of a young woman with two heads, hyperdetailed, artstation, cgsociety, 8k"
53,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/08dd1dca-5fb7-492f-b03f-5f24382e0545,"monumental sculpture geometric minimalist!!! portrait of chris hemsworth, beautiful symmetrical!! face accurate face detailed face realistic proportions, hand - carved out of red oak wood on a pedestal by stephan balkenhol and martin puryear, cinematic lighting shocking detail 8 k "
54,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/0da27e46-de8b-4932-bf99-a8586398cc8d,"digital art painting of a young boy with thinking face expression painted by craig mullins and gaston bussiere and greg rutkowski, symmetrical facial features, symmetrical face, defined facial features, dramatic lighting, close up "
55,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/1aa26d90-6089-415b-8cad-8ff4183a355e,"short curly blonde haired girl, green eyes, highly detailed, beautiful portrait by Aykut Aydogdu, hopare"
56,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/1f409761-31d3-4f3a-b3cf-f2a895934ad5,"Selfie!!!!! of a man, first person view, fisheye lens, photorealistic image, trending on artstation, 4k, 8k"
57,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/1ffb5a86-6173-46ef-9fe6-92ef6fa35d9a,"ultra realistic style illustration of a cute red haired young woman smiling, 1 9 year old, headshot, sci - fi, fantasy, intricate, elegant, digital painting, artstation, concept art, smooth, sharp focus, illustration, 8 k frostbite 3 engine, ultra detailed, art by artgerm and greg rutkowski and magali villeneuve "
58,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/20b5ee5e-2f36-4f8d-b46b-b0530e32ee67,"digital art painting of a young boy with thinking and surprised face expression painted by craig mullins and gaston bussiere and greg rutkowski, symmetrical facial features, symmetrical face, defined facial features, dramatic lighting, close up "
59,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/296c9d96-5e9e-49e4-91bd-e305dc856cd8,"a game art portrait of a very very very very very beautiful female by Timothy Lamb, hyperrealism, very detailed, Vray, Rembrandt lighting, artstation, Deviantart, fantasy art, rpg portrait"
60,photorealistic,https://lexica-serve-encoded-images.sharif.workers.dev/md/2f7f6f09-f430-4199-af73-0258ecf26ef2,"hyperrealistic image of info wars alex jones as ( ace ventura ), stunning 3 d render, inspired by istvan sandorfi & greg rutkowski & unreal engine, full body shot, perfect symmetry, dim volumetric cinematic lighting, 8 k octane comprehensive render, extremely hyper - detailed, incredibly lifelike attributes, intricate, real flesh texture, masterpiece, artstation, stunning, "
